114,AM,1302801,MARAÃ,16830,827
115,AM,1302900,MAUÉS,39991,067
116,AM,1303007,NHAMUNDÁ,14107,972
117,AM,1303106,NOVA OLINDA DO NORTE,5578,132
118,AM,1303205,NOVO AIRÃO,37805,257
119,AM,1303304,NOVO ARIPUANÃ,41179,656
120,AM,1303403,PARINTINS,5956,373
121,AM,1303502,PAUINI,41624,668
122,AM,1303536,PRESIDENTE FIGUEIREDO,25412,265
123,AM,1303569,RIO PRETO DA EVA,5815,622
124,AM,1303601,SANTA ISABEL DO RIO NEGRO,62800,079
125,AM,1303700,SANTO ANTÔNIO DO IÇÁ,12366,143
126,AM,1303809,SÃO GABRIEL DA CACHOEIRA,109181,240
127,AM,1303908,SÃO PAULO DE OLIVENÇA,19658,502
128,AM,1303957,SÃO SEBASTIÃO DO UATUMÃ,10647,463
129,AM,1304005,SILVES,3723,382
130,AM,1304062,TABATINGA,3266,062
131,AM,1304104,TAPAUÁ,84946,166
132,AM,1304203,TEFÉ,23692,223
133,AM,1304237,TONANTINS,6446,894
134,AM,1304260,UARINI,10274,677
135,AM,1304302,URUCARÁ,27903,534
136,AM,1304401,URUCURITUBA,2886,494
137,RR,1400027,AMAJARI,28472,310
138,RR,1400050,ALTO ALEGRE,25753,487
139,RR,1400100,BOA VISTA,5687,037
140,RR,1400159,BONFIM,8095,421
141,RR,1400175,CANTÁ,7664,831
142,RR,1400209,CARACARAÍ,47390,691
143,RR,1400233,CAROEBE,12065,771
144,RR,1400282,IRACEMA,14351,133
145,RR,1400308,MUCAJAÍ,12351,341
146,RR,1400407,NORMANDIA,6966,811
147,RR,1400456,PACARAIMA,8028,483
148,RR,1400472,RORAINÓPOLIS,33596,525
149,RR,1400506,SÃO JOÃO DA BALIZA,4284,502
150,RR,1400605,SÃO LUIZ,1526,898
151,RR,1400704,UIRAMUTÃ,8065,564
152,PA,1500107,ABAETETUBA,1610,404
153,PA,1500131,ABEL FIGUEIREDO,614,131
154,PA,1500206,ACARÁ,4343,805
155,PA,1500305,AFUÁ,8372,795
156,PA,1500347,ÁGUA AZUL DO NORTE,7113,955
157,PA,1500404,ALENQUER,23645,452
158,PA,1500503,ALMEIRIM,72954,798
159,PA,1500602,ALTAMIRA,159533,328
160,PA,1500701,ANAJÁS,6913,068
161,PA,1500800,ANANINDEUA,190,451
162,PA,1500859,ANAPU,11895,296
163,PA,1500909,AUGUSTO CORRÊA,1091,541
164,PA,1500958,AURORA DO PARÁ,1811,840
165,PA,1501006,AVEIRO,17074,052
166,PA,1501105,BAGRE,4397,321
167,PA,1501204,BAIÃO,3758,300
168,PA,1501253,BANNACH,2956,649
169,PA,1501303,BARCARENA,1310,588
170,PA,1501402,BELÉM,1059,458
171,PA,1501451,BELTERRA,4398,418
172,PA,1501501,BENEVIDES,187,826
173,PA,1501576,BOM JESUS DO TOCANTINS,2816,616
174,PA,1501600,BONITO,586,736
175,PA,1501709,BRAGANÇA,2091,930
176,PA,1501725,BRASIL NOVO,6362,575
177,PA,1501758,BREJO GRANDE DO ARAGUAIA,1288,477
178,PA,1501782,BREU BRANCO,3941,911
179,PA,1501808,BREVES,9563,007
180,PA,1501907,BUJARU,1005,168
181,PA,1501956,CACHOEIRA DO PIRIÁ,2461,965
182,PA,1502004,CACHOEIRA DO ARARI,3100,261
183,PA,1502103,CAMETÁ,3081,367
184,PA,1502152,CANAÃ DOS CARAJÁS,3146,407
185,PA,1502202,CAPANEMA,614,693
186,PA,1502301,CAPITÃO POÇO,2899,553
187,PA,1502400,CASTANHAL,1028,889
188,PA,1502509,CHAVES,13084,755
189,PA,1502608,COLARES,609,792
190,PA,1502707,CONCEIÇÃO DO ARAGUAIA,5829,482
191,PA,1502756,CONCÓRDIA DO PARÁ,690,947
192,PA,1502764,CUMARU DO NORTE,17085,001
193,PA,1502772,CURIONÓPOLIS,2369,098
194,PA,1502806,CURRALINHO,3617,252
195,PA,1502855,CURUÁ,1431,133
196,PA,1502905,CURUÇÁ,672,675
197,PA,1502939,DOM ELISEU,5268,815
198,PA,1502954,ELDORADO DO CARAJÁS,2956,690
199,PA,1503002,FARO,11770,628
200,PA,1503044,FLORESTA DO ARAGUAIA,3444,285
201,PA,1503077,GARRAFÃO DO NORTE,1599,028
202,PA,1503093,GOIANÉSIA DO PARÁ,7023,941
203,PA,1503101,GURUPÁ,8540,113
204,PA,1503200,IGARAPÉ-AÇU,785,983
205,PA,1503309,IGARAPÉ-MIRI,1996,790
206,PA,1503408,INHANGAPI,471,449
207,PA,1503457,IPIXUNA DO PARÁ,5215,555
208,PA,1503507,IRITUIA,1379,362
209,PA,1503606,ITAITUBA,62042,472
210,PA,1503705,ITUPIRANGA,7880,109
211,PA,1503754,JACAREACANGA,53304,564
212,PA,1503804,JACUNDÁ,2008,315
213,PA,1503903,JURUTI,8305,128
214,PA,1504000,LIMOEIRO DO AJURU,1490,186
215,PA,1504059,MÃE DO RIO,469,492
216,PA,1504109,MAGALHÃES BARATA,325,265
217,PA,1504208,MARABÁ,15128,058
218,PA,1504307,MARACANÃ,855,664
219,PA,1504406,MARAPANIM,795,987
220,PA,1504422,MARITUBA,103,343
221,PA,1504455,MEDICILÂNDIA,8272,629
222,PA,1504505,MELGAÇO,6774,018
223,PA,1504604,MOCAJUBA,870,806
224,PA,1504703,MOJU,9094,139
225,PA,1504752,MOJUÍ DOS CAMPOS,4988,236
226,PA,1504802,MONTE ALEGRE,18152,559
227,PA,1504901,MUANÁ,3763,337
228,PA,1504950,NOVA ESPERANÇA DO PIRIÁ,2809,319
229,PA,1504976,NOVA IPIXUNA,1564,184
230,PA,1505007,NOVA TIMBOTEUA,489,853
231,PA,1505031,NOVO PROGRESSO,38162,035
